Land                  , 1900 , 1930 , 1950 , 1960 , 1970 , 1980 , 1990  , 2000  , 2010   , 2020   , 2023
Algeriet              , 2    ,      ,      ,      , 214  , 615  , 1036  , 1681  , 2575   , 3518   , 3652
Bahrain               ,      ,      ,      ,      ,      ,      ,       , 54    , 70     , 137    , 150
Egypten               , 5    , 19   , 50   , 117  , 527  , 911  , 1444  , 2085  , 3718   , 9570   , 10886
F̦renade Arabemiraten ,      ,      ,      ,      ,      ,      ,       , 351   , 742    , 3620   , 3882
Irak                  ,      ,      , 5    , 16   , 108  , 631  , 9818  , 49372 , 121761 , 146440 , 145586
Jemen                 ,      ,      ,      ,      ,      ,      ,       , 173   , 605    , 3052   , 3389
Jordanien             ,      ,      ,      , 5    , 223  , 414  , 663   , 1068  , 2848   , 5278   , 5781
Libanon               ,      ,      ,      , 15   , 240  , 2170 , 15986 , 20038 , 24116  , 28885  , 29876
Libyen                ,      ,      , 2    , 2    , 74   , 49   , 218   , 374   , 1364   , 3810   , 3949
Marocko               ,      ,      ,      , 22   , 775  , 1584 , 2720  , 4492  , 7391   , 11898  , 12823
Mauretanien           ,      ,      ,      ,      ,      ,      ,       , 20    , 44     , 81     , 89
Oman                  ,      ,      ,      ,      ,      ,      ,       , 7     , 37     , 87     , 123
Palestina             ,      ,      ,      ,      , 171  , 278  , 719   , 1018  , 3444   , 8281   , 8420
Qatar                 ,      ,      ,      ,      ,      ,      ,       , 23    , 74     , 362    , 406
Saudiarabien          ,      ,      ,      ,      ,      ,      , 216   , 836   , 1658   , 6895   , 7281
Sudan                 ,      ,      ,      , 2    , 521  , 119  , 324   , 710   , 1766   , 6811   , 8685
Syrien                ,      ,      ,      , 6    , 100  , 1606 , 5874  , 14162 , 20758  , 193594 , 197201
Tunisien              ,      ,      ,      , 12   , 238  , 952  , 1954  , 2728  , 4065   , 5889   , 6392
Kuwait                ,      ,      ,      ,      ,      , 17   , 49    , 809   , 1 459  , 3736   , 3756
